biolink:related_to || related to || This relationship holds between p and l when p is a transport or localization process in which the outcome is to move some cargo c from a an initial location to some destination l.
biolink:related_to || related to || The relationship linking a cell and its participation in a process that results in the fate of the cell being specified. Once specification has taken place, a cell will be committed to differentiate down a specific pathway if left in its normal environment.
biolink:related_to || related to || characteristic of part of
biolink:related_to || related to || has substance added
biolink:related_to || related to || has muscle antagonist
biolink:related_to || related to || homonym of
biolink:related_to || related to || is conjugate acid of
biolink:related_to || related to || results in transport to from or in
biolink:related_to || related to || x has_fused_element y iff: there exists some z : x has_part z, z homologous_to y, and y is a distinct element, the boundary between x and z is largely fiat
biolink:related_to || related to || m has_muscle_insertion s iff m is attaches_to s, and it is the case that when m contracts, s moves. Insertions are usually connections of muscle via tendon to bone.
biolink:related_to || related to || p regulates levels of c if p regulates some amount (PATO:0000070) of c
biolink:related_to || related to || Relation between an arterial structure and another structure, where the arterial structure acts as a conduit channeling fluid, substance or energy.
biolink:related_to || related to || bearer of
biolink:related_to || related to || coincident with
biolink:related_to || related to || regulates levels of
biolink:related_to || related to || Paraphrase of elucidation: a relation between a realizable entity and a process, where there is some material entity that is bearer of the realizable entity and participates in the process, and the realizable entity comes to be realized in the course of the process
biolink:related_to || related to || confers advantage in
biolink:related_to || related to || disease has inflammation site
biolink:related_to || related to || attached to
biolink:related_to || related to || This relationship holds between p and l when p is a transport or localization process in which the outcome is to move some cargo c from some initial location l to some destination.
biolink:related_to || related to || happens during
biolink:related_to || related to || connects
biolink:related_to || related to || A relationship that is asserted between two named things
biolink:related_to || related to || x has potential to developmentrally contribute to y iff x developmentally contributes to y or x is capable of developmentally contributing to y
biolink:related_to || related to || A relation that holds between two neurons that are electrically coupled via gap junctions.
biolink:related_to || related to || functionally related to
biolink:related_to || related to || ends during
biolink:related_to || related to || disease has location
biolink:related_to || related to || immediate transformation of
biolink:related_to || related to || transformation of
biolink:related_to || related to || p 'results in determination of' c if and only if p is a developmental process and c is a cell and p results in the state of c changing to be determined. Once a cell becomes determined, it becomes committed to differentiate down a particular pathway regardless of its environment.
biolink:related_to || related to || Previously had ID  http://purl.obolibrary.org/obo/RO_0002122 in test files in sandpit - but this seems to have been dropped from ro-edit.owl at some point.  No re-use under this ID AFAIK, but leaving note here in case we run in to clashes down the line.  Official ID now chosen from DOS ID range.
biolink:related_to || related to || has potential to developmentally contribute to
biolink:related_to || related to || results in specification of
biolink:related_to || related to || attached to part of
biolink:related_to || related to || connected to
biolink:related_to || related to || Holds between p and l when p is a transportation or localization process and the outcome of this process is to move c from one location to another, and the route taken by c follows a path that is aligned_with l
biolink:related_to || related to || results in transport along
biolink:related_to || related to || has potential to develop into
biolink:related_to || related to || has 2D boundary
biolink:related_to || related to || has muscle insertion
biolink:related_to || related to || related developmental entity of
biolink:related_to || related to || A relation that holds between two linear structures that are approximately parallel to each other for their entire length and where either the two structures are adjacent to each other or one is part of the other.
biolink:related_to || related to || protects
biolink:related_to || related to || a is attached to part of b if a is attached to b, or a is attached to some p, where p is part of b.
biolink:related_to || related to || has target start location
biolink:related_to || related to || synapsed by
biolink:related_to || related to || A relationship that holds between a disease and organism
biolink:related_to || related to || A relationship between a disease and an anatomical entity where the disease has one or more features that are located in that entity.
biolink:related_to || related to || X continuous_with Y if and only if X and Y share a fiat boundary.
